keyword,avg_monthly_searches,competition,competition_index,low_top_of_page_bid_micros,high_top_of_page_bid_micros,low_top_of_page_bid,high_top_of_page_bid,monthly_search_volumes_count
chatgpt とは,6600,LOW,10,21422028,383668384,21.42,383.67,12
chatgpt 使い方,6600,LOW,20,15786389,452574880,15.79,452.57,12
生成 ai とは,40500,LOW,21,5898195,170533399,5.9,170.53,12
ai 業務 効率 化,1300,MEDIUM,56,265666851,882780329,265.67,882.78,12
ai 議事 録,6600,HIGH,100,162583851,909247843,162.58,909.25,12
ai 議事 録 使い方,30,LOW,23,98146873,276686253,98.15,276.69,12
chatgpt 無料,49500,LOW,23,14107589,128559110,14.11,128.56,12
ai 議事 録 無料,1600,MEDIUM,63,99600738,499425514,99.6,499.43,12
生成 ai 無料,18100,MEDIUM,51,71560915,253155164,71.56,253.16,12
業務 効率 化 ツール 無料,40,MEDIUM,49,257160466,919210802,257.16,919.21,12
chatgpt 料金,6600,LOW,7,8303130,1355456804,8.3,1355.46,12
chatgpt plus 料金,2400,LOW,20,356452418,6863975016,356.45,6863.98,12
notion ai 料金,1300,LOW,3,175418353,2003321277,175.42,2003.32,12
zapier 料金,880,LOW,30,176325583,1022723425,176.33,1022.72,12
make 料金,90,LOW,6,422775116,1035058958,422.78,1035.06,12
ai 議事 録 おすすめ,320,HIGH,98,159415000,782820907,159.41,782.82,12
ai 議事 録 比較,260,MEDIUM,63,348901726,1054830562,348.9,1054.83,12
業務 効率 化 ツール おすすめ,30,LOW,33,385542626,3562542016,385.54,3562.54,12
業務 効率 化 ツール 比較,10,UNSPECIFIED,0,0,0,0.0,0.0,12
rpa おすすめ,210,MEDIUM,59,209540496,948498207,209.54,948.5,12
rpa 比較,320,MEDIUM,56,249477460,948295590,249.48,948.3,12
議事 録 自動 作成 ツール,90,HIGH,100,174879849,580081374,174.88,580.08,12
rpa 導入,320,MEDIUM,48,152446651,647645596,152.45,647.65,12
ai 議事 録 料金,10,MEDIUM,66,164415210,431115549,164.42,431.12,12
生成 ai ツール おすすめ,30,LOW,25,272599650,1279050948,272.6,1279.05,12
生成 ai ツール 比較,50,MEDIUM,33,179634401,620331748,179.63,620.33,12
文字 起こし ai おすすめ,320,HIGH,82,164197450,589879817,164.2,589.88,12
法人 向け 生成 ai,140,HIGH,81,735784236,3591560966,735.78,3591.56,12
生成 ai 法人 導入,0,UNSPECIFIED,0,0,0,0.0,0.0,0
ai 業務 効率 化 導入,0,UNSPECIFIED,0,0,0,0.0,0.0,0
